Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
Rummy Circle,Gaming,OF-16525_RummyCircle_HomeATF,1160352871,2497164,14982984,Sep'22
GPRC,GPRC + Apple,OF-16822_GPRC _WCC1_00-24_HomeATF,43571655,12559,576829,Sep'22
FK Central,e-Commerce,OF-16951_FKCentral_Homemasthead_CPM,136107528,510193,653141,Sep'22
GPRC,GPRC + Apple,OF-16822_GPRC _WCC1_00-24_HomeATF,16705742,8475,221161,Sep'22
Ludo_Gold,Gaming,OF-16586_LudoGold_HomeBTF_CPM60,59101771,174959,2402645,Sep'22
FK Central,e-Commerce,OF-16951_FKCentral_Homemasthead_CPM,28243094,75486,135531,Sep'22
FK Central,e-Commerce,OF-16951_FKCentral_Homemasthead_CPM,25388606,32772,121833,Sep'22
Hotstar,OTT & Entertainment,OF-16731_Hotstar,18081817,53936,797250,Sep'22
Hotstar,OTT & Entertainment,OF-16732_Hotstar,16308509,41500,796748,Sep'22
FK Central,e-Commerce,"OF-16951_FKCentral_HomeATF,PT_CPM",13382653,78599,64220,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",98731477,172132,647270,Sep'22
GPRC,GPRC + Apple,OF-16823_GPRC_WCC2_25_49_HomeATF,9994366,3064,657050,Sep'22
GPRC,GPRC + Apple,OF-16824_GPRCLudo1_50-74_HomeATF,9967831,3390,656527,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",218927943,136675,513940,Sep'22
GPRC,GPRC + Apple,OF-16825_GPRC_Ludo2_HomeATF_75-99,9356986,2693,646848,Sep'22
Bajaj,BFSI,OF-16496_BajajFinservInstaEMIcard_HomeBTF_CPC5,11727527,92212,315574,Sep'22
Ludo_Gold,Gaming,OF-16586_LudoGold_HomeBTF_CPM60,7310483,35905,1916797,Sep'22
Playship,Gaming,OF-16644_Playship_HomeATF_CPC8,89661696,65497,396437,Sep'22
FK Central,e-Commerce,"OF-16951_FKCentral_HomeATF,PT_CPM",6097112,25999,29258,Sep'22
Bajaj,BFSI,OF-16496_BajajFinservInstaEMIcard_HomeBTF_CPC5,8056169,68363,233956,Sep'22
Ludo_Gold,Gaming,OF-16586_LudoGold_HomeBTF_CPM60,5392184,23170,219207,Sep'22
Hindustan University,Edtech,OF-16850_HindustanUniversity_MMBTF/PT_CPM,3701515,15325,210814,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,42539565,108935,725308,Sep'22
Bajaj,BFSI,OF-16496_BajajFinservInstaEMIcard_HomeBTF_CPC5,7404273,62667,214463,Sep'22
Playship,Gaming,OF-16644_Playship_HomeATF_CPC8,19821325,47600,288111,Sep'22
Playship,Gaming,OF-16644_Playship_HomeATF_CPC8,14189859,47520,287627,Sep'22
PlayerZpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,101198283,133597,710052,Sep'22
FK Central,e-Commerce,OF-16951_FKCentral_Homemasthead_CPM,4308310,7268,20674,Sep'22
Hotstar,OTT & Entertainment,OF-16733_Hotstar,6866334,17256,398515,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",17105256,54950,138788,Sep'22
GPRC,GPRC + Apple,OF-16823_GPRC_WCC2_25_49_HomeATF,3680122,2167,241939,Sep'22
GPRC,GPRC + Apple,OF-16824_GPRCLudo1_50-74_HomeATF,3680994,2152,242447,Sep'22
Bajaj,BFSI,OF-16496_BajajFinservInstaEMIcard_HomeBTF_CPC5,3391669,40463,138475,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,40617471,57930,176722,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,50503197,33453,206207,Sep'22
GPRC,GPRC + Apple,OF-16825_GPRC_Ludo2_HomeATF_75-99,3643581,2061,251881,Sep'22
FK Central,e-Commerce,"OF-16951_FKCentral_HomeATF,PT_CPM",2790294,16394,13390,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,27028646,52453,160014,Sep'22
FK Central,e-Commerce,OF-16951_FKCentral_Homemasthead_CPM,2689430,5322,12906,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,15733418,26934,82165,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_CPM85,1522704,6137,83518,Sep'22
Rummy Circle,Gaming,OF-16525_RummyCircle_HomeATF,9006013,30803,139953,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",331451157,501819,2967115,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",672232889,493531,2918110,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,8743059,24780,398970,Sep'22
FK Central,e-Commerce,OF-16951_FKCentral_Homemasthead_CPM,1591914,5087,7639,Sep'22
Bajaj,BFSI,OF-16496_BajajFinservInstaEMIcard_HomeBTF_CPC5,2536919,20299,69469,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",3678564,21146,208342,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",9839930,24901,93635,Sep'22
Ludo_Gold,Gaming,OF-16586_LudoGold_HomeBTF_CPM60,1503709,13124,61130,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",9286898,24088,90578,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFC Savings_HomeBTF,Reward,CB,MMBTF_CPC4",7902831,22033,82851,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",135355599,294523,1741432,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,9211168,21401,65286,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,10089073,7449,479287,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFC Savings_HomeBTF,Reward,CB,MMBTF_CPC4",7072227,19651,73894,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_CPM85,754244,4545,41369,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",3993921,15261,38545,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",2680636,1191,151823,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFC Savings_HomeBTF,Reward,CB,MMBTF_CPC4",6476929,18888,71025,Sep'22
PlayerZpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,20447489,32495,172707,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFC Savings_HomeBTF,Reward,CB,MMBTF_CPC4",7519522,18758,70536,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",3158301,15003,37893,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,8784633,19368,59084,Sep'22
GRT Jewels,Offline Retail,"OF-16376_GRT Jewellers_HomeATF,Reward_CPC8",2512539,11674,74748,Sep'22
PlayerZpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,6025410,27098,144023,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,9774876,13910,42434,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,4202114,18562,191754,Sep'22
Ludo_Gold,Gaming,OF-16586_LudoGold_HomeBTF_CPM60,938703,3884,38161,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,15064452,29195,157611,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",1889739,10903,27538,Sep'22
KFC,FnB,OF-16894_KFC_CPM_HomeATF,2658022,3124,143867,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_HomeATF_HOmeBTF_CPM85,517234,2263,28370,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",105357358,12710,47794,Sep'22
Isobar- IndusInd,BFSI,"OF-16509_IndusIndCC_CB,CBC_CPC2",30353487,29794,45311,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,5489804,9182,28011,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",1532744,11679,43917,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",133566873,153604,908217,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,3480527,7057,21528,Sep'22
Prime Video,OTT & Entertainment,"OF-16487_PrimeVideo_PT,CB,CBC_CPC8",916445,6307,37482,Sep'22
